job_id,job_name,execution_start_time,execution_end_time,duration_minutes,started_by,status,error_message,priority,environment,node_name,cpu_usage_percent,memory_usage_mb,queue_wait_time_sec,description,category
PROC-fec21bbe,kpi_analyze,2024-12-16T06:32:00,2024-12-16T06:39:53,7.89,maria95,scheduled,,background,training,worker-central-62,13.5,6558.7,296.2,Manages security configurations across instance-secondary-04. Runs daily.,security
0187,profile,2024-12-02T20:24:00,2024-12-02T21:03:48,39.81,maria95,timeout,,critical,qa,server-asia-98,7.6,6854.8,129.8,Handles user transformation operations. Runs monthly.,user
0412,db_process,2024-12-19T01:37:00,,,donaldgarcia,running,,background,development,pod-central-78,66.3,8189.7,191.5,Performs ETL operations on database data. Runs twice daily.,data
JOB-9279,compliance,2024-12-19T00:58:00,2024-12-19T01:43:33,45.56,lrobinson,failed,Configuration error: Invalid configuration for authentication during compliance operation,background,development,instance-secondary-61,26.1,8156.5,141.1,Manages security configurations across app-secondary-07. Required for data integrity. Runs monthly.,security
J002,security_patch,2024-10-05T12:35:00,2024-10-05T13:36:47,61.79,kendragalloway,failed,Resource error: Insufficient API endpoint available,medium,demo,app-north-12,73.9,1856.9,161.0,Updates user profiles in demo. Runs daily.,user
0038,housekeeping_optimization,2024-10-23T03:23:00,2024-10-23T03:48:46,25.77,robinsonwilliam,completed,,high,production,app-south-84,53.9,4723.0,3.9,Orchestrates complex operational sequences. Runs weekly.,automation
JOB-3266,upkeep_organize,2024-11-19T10:49:00,2024-11-19T10:51:16,2.28,dudleynicholas,timeout,,background,qa,node-east-19,22.8,7154.0,273.2,Performs full maintenance on customer information systems. Runs event-triggered.,maintenance
J016,template_email,2024-12-16T01:58:00,2024-12-16T02:23:12,25.21,admin,scheduled,,low,production,server-primary-13,44.0,618.8,27.2,Distributes system alerts and user notifications. Runs hourly.,notification
0232,threat_risk,2024-12-06T06:25:00,,,susanrogers,running,,low,testing,node-west-18,62.8,3788.3,135.9,Monitors security events and logs in testing. Runs hourly.,security
ID-0570,push,2024-11-15T16:29:00,2024-11-15T17:13:56,44.95,user,completed,,low,qa,vm-north-87,54.9,5070.8,12.3,Handles API connections and data transformations. Optimized for performance. Runs every 6 hours.,integration
JOB-4657,upkeep_archive,2024-12-25T05:02:00,2024-12-25T05:31:32,29.53,robinsonwilliam,queued,,critical,production,container-asia-63,27.5,7807.8,299.0,Manages full backup operations. Uses message queue for data access. Runs twice daily.,backup
TASK-031,middleware,2024-12-22T19:50:00,2024-12-22T20:01:43,11.73,jamesmichael,timeout,,critical,training,container-north-66,17.8,4436.0,267.1,Handles API connections and data transformations. Runs daily.,integration
TASK-017,synchronization_protocol,2024-12-03T08:41:00,2024-12-03T09:33:31,52.53,hoffmanjennifer,scheduled,,high,sandbox,vm-us-02,59.1,4594.8,198.4,Synchronizes data across sandbox boundaries. Runs twice daily.,integration
